Date,Btc_Close,Eth_Close,Ltc_Close
2020-11-28,17739.85,538.11,72.79
2020-11-29,18202.04,576.76,79.0
2020-11-30,19713.94,617.0,87.66
2020-12-01,18782.97,586.03,85.17
2020-12-02,19225.63,597.35,88.99
2020-12-03,19448.64,616.65,89.03
2020-12-04,18658.1,567.6,79.58
2020-12-05,19158.96,597.29,83.21
2020-12-06,19375.6,601.95,83.64
2020-12-07,19177.71,591.47,83.41
2020-12-08,18316.22,554.79,76.7
2020-12-09,18546.55,573.38,77.42
2020-12-10,18253.44,559.45,74.71
2020-12-11,18042.15,544.23,72.18
2020-12-12,18821.28,568.64,76.7
2020-12-13,19166.65,590.75,82.2
2020-12-14,19272.37,586.39,82.4
2020-12-15,19444.6,589.08,81.4
2020-12-16,21359.65,637.98,93.02
2020-12-17,22826.48,643.37,101.17
2020-12-18,23137.76,654.66,109.46
2020-12-19,23849.99,658.96,120.02
2020-12-20,23476.51,638.4,114.65
2020-12-21,22729.4,608.07,104.44
2020-12-22,23823.27,636.82,114.31
2020-12-23,23228.35,585.11,102.35
2020-12-24,23717.96,612.27,111.2
2020-12-25,24704.71,626.75,127.67
2020-12-26,26475.35,636.52,129.56
2020-12-27,26258.65,684.12,127.6
2020-12-28,27040.36,729.7,129.69
2020-12-29,27366.35,731.76,128.69
2020-12-30,28897.42,752.86,130.11
2020-12-31,28990.08,737.67,124.41
2021-01-01,29412.84,730.99,126.53
2021-01-02,32225.91,775.3,137.13
2021-01-03,33080.66,980.44,161.52
2021-01-04,32019.99,1042.38,155.43
2021-01-05,34030.64,1103.73,159.03
2021-01-06,36859.26,1212.02,169.41
2021-01-07,39505.56,1227.34,169.75
2021-01-08,40665.15,1217.35,172.46
2021-01-09,40257.43,1281.45,177.87
2021-01-10,38171.57,1255.13,170.21
2021-01-11,35452.59,1088.79,139.43
2021-01-12,34038.98,1049.79,133.39
2021-01-13,37393.66,1130.8,147.51
2021-01-14,39125.14,1231.32,152.38
2021-01-15,36754.67,1168.1,143.63
2021-01-16,36006.94,1227.14,143.5
2021-01-17,35820.0,1232.99,142.8
2021-01-18,36624.23,1258.48,151.88
2021-01-19,35917.28,1368.04,151.9
2021-01-20,35503.09,1376.88,149.77
2021-01-21,30855.95,1110.62,129.75
2021-01-22,32984.93,1233.6,137.76
2021-01-23,32112.01,1234.55,137.76
2021-01-24,32288.56,1394.0,141.13
2021-01-25,32261.87,1317.97,137.13
2021-01-26,32510.82,1367.98,134.79
2021-01-27,30407.13,1240.96,122.63
2021-01-28,33488.99,1333.19,133.61
2021-01-29,34262.11,1379.87,134.91
2021-01-30,34315.63,1380.0,133.61
2021-01-31,33137.74,1313.94,129.58
2021-02-01,33533.19,1374.6,132.04
2021-02-02,35512.67,1513.67,142.05
2021-02-03,37678.37,1668.72,156.2
2021-02-04,36975.0,1597.55,145.27
2021-02-05,38311.49,1721.06,155.15
2021-02-06,39265.43,1679.77,155.77
2021-02-07,38871.42,1615.32,150.95
2021-02-08,46448.1,1752.98,167.63
2021-02-09,46514.73,1772.16,181.92
2021-02-10,44850.0,1742.93,181.76
2021-02-11,47997.91,1787.32,183.8
2021-02-12,47408.34,1845.0,197.2
2021-02-13,47232.45,1818.01,226.62
2021-02-14,48680.69,1803.75,213.93
2021-02-15,47936.37,1779.62,207.9
2021-02-16,49158.71,1781.97,210.17
2021-02-17,52170.01,1852.0,237.54
2021-02-18,51601.73,1939.64,226.65
2021-02-19,55983.56,1957.68,236.69
2021-02-20,55923.52,1915.46,227.17
2021-02-21,57489.16,1935.57,227.54
2021-02-22,54142.13,1778.66,208.23
2021-02-23,48899.99,1577.83,177.59
2021-02-24,49737.82,1625.3,181.7
2021-02-25,47058.48,1482.62,179.47
2021-02-26,46326.2,1445.18,170.3
2021-02-27,46180.75,1460.57,172.01
2021-02-28,45231.75,1422.02,165.72
2021-03-01,49639.4,1571.82,176.01
2021-03-02,48511.6,1488.34,179.25
2021-03-03,50360.0,1567.86,187.61
2021-03-04,48368.52,1539.69,180.59
2021-03-05,48769.47,1528.82,180.3
2021-03-06,48909.84,1651.83,182.85
2021-03-07,50978.61,1728.22,190.74
2021-03-08,52415.23,1834.58,191.9
2021-03-09,54916.38,1871.99,203.98
2021-03-10,55890.69,1795.37,200.23
2021-03-11,57815.47,1827.04,201.47
2021-03-12,57225.91,1767.79,220.84
2021-03-13,61178.5,1921.61,226.09
2021-03-14,58972.7,1848.9,214.11
2021-03-15,55636.15,1795.07,200.82
2021-03-16,56927.11,1806.03,201.64
2021-03-17,58925.54,1824.74,206.04
2021-03-18,57644.95,1776.4,199.65
2021-03-19,58039.66,1809.38,199.91
2021-03-20,58116.7,1806.47,200.16
2021-03-21,57363.32,1784.0,195.53
2021-03-22,54110.07,1681.02,185.7
2021-03-23,54345.54,1668.09,185.85
2021-03-24,52276.16,1581.79,175.95
2021-03-25,51325.01,1587.08,171.48
2021-03-26,55072.44,1700.1,183.7
2021-03-27,55856.53,1713.88,184.14
